plane_id,flight_id,origin_country,time_position,last_contact,longitude,latitude,baro_altitude,on_ground,velocity,true_track,vertical_rate,geo_altitude,source_type,category
345250,ANE35AQ,Spain,,2026-09-12 11:26:20+00:00,,,15.24,True,0.0,345.94,,,0,4
40792f,BAW837,United Kingdom,2026-09-12 11:26:24+00:00,2026-09-12 11:26:27+00:00,16.3389,44.1194,10972.8,False,227.38,320.69,0.0,11369.04,0,0
40792e,SHT17Y,United Kingdom,2026-09-12 11:26:27+00:00,2026-09-12 11:26:27+00:00,-2.0776,53.0931,9753.6,False,245.71,153.38,0.33,10195.56,0,0
e48caf,AZU2846,Brazil,2026-09-12 11:26:27+00:00,2026-09-12 11:26:27+00:00,-47.4377,-21.6981,3962.4,False,121.88,340.26,0.33,4191.0,0,0
140000,ZPBEC,Russian Federation,2026-09-12 11:21:54+00:00,2026-09-12 11:21:54+00:00,-55.151,-25.4527,1981.2,False,87.38,275.74,-0.33,2019.3,0,0
4794f2,NOZ41B,Norway,2026-09-12 11:26:27+00:00,2026-09-12 11:26:27+00:00,2.1031,41.2922,,True,1.29,233.44,,,0,0
a7ad0d,JBU1799,United States,2026-09-12 11:25:28+00:00,2026-09-12 11:26:26+00:00,-76.2003,36.8964,,True,0.0,202.5,,,0,0
a2aa64,MXY1324,United States,2026-09-12 11:26:28+00:00,2026-09-12 11:26:28+00:00,-72.6927,43.3356,8808.72,False,221.61,266.54,5.85,9220.2,0,0
8a08b1,UBA2302,Indonesia,2026-09-12 11:19:48+00:00,2026-09-12 11:26:25+00:00,96.3931,16.9749,53.34,False,138.61,307.76,-6.83,1920.24,0,0
345248,VLG59XD,Spain,2026-09-12 11:26:27+00:00,2026-09-12 11:26:27+00:00,-7.3275,39.1849,10347.96,False,224.9,46.67,0.0,11056.62,0,4
aa1a26,ENY3637,United States,2026-09-12 11:26:28+00:00,2026-09-12 11:26:28+00:00,-88.3494,41.5906,3078.48,False,184.73,41.73,-2.28,3169.92,0,0
407930,BAW525,United Kingdom,2026-09-12 11:26:28+00:00,2026-09-12 11:26:28+00:00,2.3546,49.8114,11590.02,False,204.47,318.57,-0.33,12146.28,0,0
e49fb6,AZU4447,Brazil,2026-09-12 11:26:27+00:00,2026-09-12 11:26:27+00:00,-45.867,-23.529,7620.0,False,218.07,74.26,-0.33,8054.34,0,0
40791f,GCLJS,United Kingdom,2026-09-12 11:26:28+00:00,2026-09-12 11:26:28+00:00,-1.1455,51.0353,685.8,False,63.17,192.23,0.33,792.48,0,0
aa94be,FDX1442,United States,2026-09-12 11:26:28+00:00,2026-09-12 11:26:28+00:00,-75.8419,43.2556,3855.72,False,198.84,47.73,10.08,3985.26,0,0
e49fb1,AZU2608,Brazil,2026-09-12 11:26:28+00:00,2026-09-12 11:26:28+00:00,-47.3007,-23.4756,4008.12,False,175.43,193.91,3.9,4221.48,0,0
a1f1de,SWA2089,United States,2026-09-12 11:26:28+00:00,2026-09-12 11:26:28+00:00,-92.4246,31.2285,10972.8,False,235.52,240.13,0.0,11612.88,0,0
e49fb5,AZU2704,Brazil,2026-09-12 11:26:28+00:00,2026-09-12 11:26:28+00:00,-48.3139,-23.8552,8267.7,False,199.48,25.84,-8.78,8732.52,0,0
89404d,BAH3,Bahrain,2026-09-12 11:26:27+00:00,2026-09-12 11:26:27+00:00,-5.4562,46.5679,11277.6,False,227.1,211.1,0.0,11917.68,0,0
c0253f,CFOCS,Canada,2026-09-12 11:26:28+00:00,2026-09-12 11:26:28+00:00,-77.6952,41.337,7620.0,False,203.38,162.48,0.0,8016.24,0,0
c07ef2,WJA669,Canada,2026-09-12 11:26:28+00:00,2026-09-12 11:26:28+00:00,-67.547,46.7657,9753.6,False,199.74,305.78,0.0,10081.26,0,0
781fa8,CSN3624,China,2026-09-12 11:26:26+00:00,2026-09-12 11:26:26+00:00,117.7092,40.8515,11003.28,False,191.25,208.08,0.0,11384.28,0,0
407913,EXS66KE,United Kingdom,2026-09-12 11:26:27+00:00,2026-09-12 11:26:27+00:00,-0.7434,47.7432,10972.8,False,215.29,352.59,0.0,11590.02,0,0
a2bd72,GXA613,United States,2026-09-12 11:25:50+00:00,2026-09-12 11:25:50+00:00,-77.9348,24.7608,10096.5,False,236.21,133.15,4.55,10713.72,0,0
a4ea77,AAL428,United States,2026-09-12 11:26:27+00:00,2026-09-12 11:26:28+00:00,-75.7823,39.9162,4579.62,False,177.06,268.17,8.13,4800.6,0,0
89667a,UAE35,United Arab Emirates,2026-09-12 11:26:28+00:00,2026-09-12 11:26:28+00:00,-1.4251,55.1076,769.62,False,78.15,249.18,-1.63,822.96,0,0
407995,BAW173A,United Kingdom,2026-09-12 11:26:27+00:00,2026-09-12 11:26:27+00:00,-2.5268,51.6805,7315.2,False,213.05,279.87,0.0,7711.44,0,0
781fb3,CSZ887,China,2026-09-12 11:26:27+00:00,2026-09-12 11:26:27+00:00,88.6753,52.1806,10972.8,False,238.72,313.43,0.0,11323.32,0,0
407993,BAW48Q,United Kingdom,2026-09-12 11:26:26+00:00,2026-09-12 11:26:27+00:00,-10.7333,56.1628,11887.2,False,272.84,111.34,0.0,12161.52,0,0
a727af,VNT560,United States,2026-09-12 11:26:27+00:00,2026-09-12 11:26:27+00:00,-83.7856,36.5397,9441.18,False,188.01,158.49,5.53,9974.58,0,0
aa2d32,CXK645,United States,2026-09-12 11:21:45+00:00,2026-09-12 11:21:45+00:00,-81.4505,30.6014,281.94,False,51.29,45.41,-0.33,281.94,0,0
406666,EZY16FQ,United Kingdom,2026-09-12 11:26:28+00:00,2026-09-12 11:26:28+00:00,0.7006,41.6127,10363.2,False,197.35,10.67,0.0,10965.18,0,0
