plane_id,flight_id,origin_country,time_position,last_contact,longitude,latitude,flight_altitude_m,on_ground,velocity,true_track,vertical_rate,inside_saudi_boundary,registration,manufacturername,model,typecode,openap_typecode,aircraft_metadata_matched,weather_time,weather_location_id,weather_latitude,weather_longitude,weather_distance_km,pressure_level_hpa,flight_temperature_c,flight_wind_speed_kmh,flight_wind_direction_deg,headwind_component_ms,crosswind_component_ms,derived_airspeed_ms,fuel_flow_ready,estimated_mass_kg,fuel_flow_kg_s,co2_g_s,nox_g_s,co_g_s,hc_g_s,sox_g_s,soot_g_s
06a0bf,QTR1401,Qatar,2026-09-18 15:20:33+00:00,2026-09-18 15:20:35+00:00,49.5403,26.5081,10119.36,False,264.53,278.16,7.8,True,A7-BDA,Boeing,787 8,B788,B788,True,2026-09-18 15:00:00+00:00,86,26.537785,49.514885,4.158030976419104,300,-30.0,21.0,204.0,1.592219623851061,-5.611828084252168,266.18138250443513,True,193800.0,2.2923251614743387,7243.747510258911,68.16191858567962,1.8554556097371981,0.0,2.7507901937692063,0.06876975484423016
06a0f7,QTR1192,Qatar,2026-09-18 15:20:35+00:00,2026-09-18 15:20:35+00:00,51.23,26.0108,7376.16,False,226.63,297.15,7.15,False,A7-ALC,Airbus,Airbus A350-941,A359,A359,True,2026-09-18 15:00:00+00:00,87,26.045692,51.203503,4.697047279442764,500,-4.9,25.2,115.0,-6.995072249188377,0.2626104122738915,219.63508474816328,True,238000.0,3.3732190874163814,10659.372316235766,109.47202728731533,1.9666300888455865,0.0,4.047862904899658,0.10119657262249145
06a0fb,QTR964,Qatar,2026-09-18 15:20:34+00:00,2026-09-18 15:20:35+00:00,53.5354,24.7948,8412.48,False,247.47,96.45,3.58,False,A7-ALG,Airbus,A350 941,A359,A359,True,2026-09-18 15:00:00+00:00,88,24.780315,53.497852,4.118494281410659,300,-29.0,3.4,45.0,0.5885752787489251,-0.7386165784001875,248.05967492474997,True,238000.0,3.0220248703391124,9549.598590271595,89.68639180095097,2.025906298542081,0.001795421524711611,3.6264298444069345,0.09066074611017337
710dbf,KNE378,Saudi Arabia,2026-09-18 15:20:32+00:00,2026-09-18 15:20:32+00:00,39.0657,31.4515,10652.76,False,242.9,130.88,0.0,True,HZ-NS33,,A320-251N,A20N,A20N,True,2026-09-18 15:00:00+00:00,89,31.5,39.125,7.791620573843331,250,-43.5,102.0,233.0,-5.948862724458538,27.70178351773267,238.5649393063361,True,67150.0,0.44626689978441747,1410.2034033187592,4.078273808739676,3.1195715037451808,0.021205706669818723,0.5355202797413009,0.013388006993532523
09c026,BTO4130,Burkina Faso,2026-09-18 15:20:22+00:00,2026-09-18 15:20:35+00:00,54.5897,24.5927,1173.48,False,133.64,94.42,4.55,False,,,,,,False,2026-09-18 15:00:00+00:00,90,24.639717,54.635975,7.015366015029198,850,29.3,24.5,260.0,-6.591155327184064,1.6947736936494529,127.06014792439838,False,,,,,,,,
7105bc,KNE592,Saudi Arabia,2026-09-18 15:20:35+00:00,2026-09-18 15:20:35+00:00,38.4457,32.1943,10622.28,False,239.73,153.49,0.0,False,HZ-NS28,,A320-251N,A20N,A20N,True,2026-09-18 15:00:00+00:00,91,32.1875,38.375,6.695826575325299,250,-43.5,95.0,244.0,-0.23488912671918433,26.38784348688374,240.94444674259117,True,67150.0,0.4495647093861921,1420.6244816603669,4.1260214196173655,3.111918637003699,0.02144338743364294,0.5394776512634305,0.013486941281585762
7608f9,PIA726,Pakistan,2026-09-18 15:20:35+00:00,2026-09-18 15:20:35+00:00,50.2937,23.1717,12062.46,False,245.52,99.28,0.0,True,AP-BGY,Boeing,Boeing 777-240(LR),B77L,B77L,True,2026-09-18 15:00:00+00:00,92,23.233742,50.28302,6.98457002920893,200,-53.0,29.6,159.0,4.1458599586030855,7.1004776934553195,249.7668080677336,True,298775.0,3.228303757010445,10201.439872153005,81.73645511834093,3.0915887726377145,0.1974579734344086,3.873964508412534,0.09684911271031335
4bab45,THY5044,Turkey,2026-09-18 15:20:28+00:00,2026-09-18 15:20:29+00:00,38.8141,29.9986,11308.08,False,215.88,173.57,0.0,True,TC-JZE,Boeing,737NG 8F2/W,B738,B738,True,2026-09-18 15:00:00+00:00,93,30.0,38.8125,0.21902936866095712,250,-43.5,101.0,225.0,17.49180586461141,21.935152726288685,234.4004067778797,True,67150.0,0.7326213904850502,2315.0835939327585,9.493526144649737,1.6471028135561558,0.14340817803638015,0.8791456685820601,0.021978641714551505
70c13e,,Oman,2026-09-18 15:20:24+00:00,2026-09-18 15:20:33+00:00,48.6581,23.1965,11384.28,False,231.49,122.38,0.0,True,,,,,,False,2026-09-18 15:00:00+00:00,94,23.233742,48.679245,4.670987498534808,250,-40.5,36.3,172.0,6.532528181872578,7.681125351415093,238.14643312204882,False,,,,,,,,
7609e4,ABQ217,Pakistan,2026-09-18 15:20:35+00:00,2026-09-18 15:20:35+00:00,55.8216,25.3989,5280.66,False,189.17,103.2,11.38,False,AP-BOD,,,A21N,A21N,True,2026-09-18 15:00:00+00:00,95,25.413004,55.774647,4.9699508906630285,500,-3.5,21.2,47.0,3.2759630690573505,-4.893575207948822,192.50817068346174,True,82450.0,1.170325291941893,3698.227922536382,20.456618779697468,1.2137022087392306,0.06937310440823781,1.4043903503302715,0.03510975875825679
706077,KAC675,Kuwait,2026-09-18 15:20:34+00:00,2026-09-18 15:20:35+00:00,54.8529,25.6178,3810.0,False,147.77,118.26,-10.4,False,,,,,,False,2026-09-18 15:00:00+00:00,96,25.6239,54.880436,2.8429084400638227,700,14.8,24.7,192.0,1.921087578031909,6.586673530435817,149.83593016526635,False,,,,,,,,
70605b,KAC104,Kuwait,2026-09-18 15:20:32+00:00,2026-09-18 15:20:33+00:00,38.1241,32.7397,11247.12,False,254.91,153.38,0.0,False,9K-AOI,Boeing,Boeing 777-300(ER),B77W,B77W,True,2026-09-18 15:00:00+00:00,97,32.6875,38.125,5.804985878768181,250,-43.5,83.1,250.0,-2.661136599163456,22.929427157658573,253.28886220438565,True,298775.0,3.300469490638424,10429.48359041742,82.28025516643241,4.453604317425432,0.19678652524919543,3.9605633887661087,0.09901408471915273
8940d5,DHX184,Bahrain,2026-09-18 15:20:35+00:00,2026-09-18 15:20:35+00:00,36.2049,31.7467,1470.66,False,76.71,260.35,-1.3,False,,,,,,False,2026-09-18 15:00:00+00:00,98,31.6875,36.1875,6.785370011902467,850,17.0,41.9,284.0,10.661373646992331,4.668923486963418,87.49603293572495,False,,,,,,,,
8940bf,DHX517,Bahrain,2026-09-18 15:20:33+00:00,2026-09-18 15:20:33+00:00,53.5212,25.9246,12633.96,False,231.19,112.23,0.0,False,A9C-DHY,,,B763,B763,True,2026-09-18 15:00:00+00:00,99,25.905096,53.548035,3.450594116773443,200,-52.0,17.1,231.0,-2.2861501811559966,4.163654326334068,228.9417141528321,True,134895.0,1.4919920078577518,4714.694744830495,18.75667729296866,1.4122511922757275,0.21526800043443908,1.7903904094293022,0.044759760235732554
